iter	Logloss
0	0.5915131151
1	0.5137010668
2	0.4512408972
3	0.4046731592
4	0.3666731343
5	0.3370914629
6	0.3146065249
7	0.2963266978
8	0.283778864
9	0.2716780907
10	0.2620739691
11	0.2547566873
12	0.2484828678
13	0.2433159672
14	0.2375591753
15	0.2334232273
16	0.2295358731
17	0.2264037731
18	0.222797329
19	0.2201237544
20	0.2171886712
21	0.2151296567
22	0.2130727851
23	0.2100109374
24	0.2080108891
25	0.2064809183
26	0.2051625481
27	0.2037938043
28	0.2026132306
29	0.2015292796
30	0.2004502895
31	0.199470832
32	0.1984478999
33	0.1973693478
34	0.1960538535
35	0.1952821552
36	0.1945319146
37	0.1937827757
38	0.1931003266
39	0.1920688413
40	0.1913978367
41	0.1903693436
42	0.1897190565
43	0.1892209679
44	0.1886855111
45	0.1882281521
46	0.1876260926
47	0.187053882
48	0.1860593697
49	0.1855202551
50	0.185139463
51	0.1847892854
52	0.1842800953
53	0.183771482
54	0.183091328
55	0.1820337398
56	0.1816639915
57	0.1811701569
58	0.1808456348
59	0.1806021161
60	0.1800885315
61	0.1797838352
62	0.1795234684
63	0.1785666932
64	0.1782398241
65	0.1779775164
66	0.1777861902
67	0.1775583789
68	0.1773830873
69	0.1771265174
70	0.1769455196
71	0.1767517794
72	0.1765305709
73	0.1761150616
74	0.1754444866
75	0.1751549517
76	0.1749611254
77	0.1747385318
78	0.1745528385
79	0.174324111
80	0.1741987628
81	0.1737537723
82	0.1734057968
83	0.1732054601
84	0.1729338666
85	0.1727039131
86	0.1725331174
87	0.1723753134
88	0.1722758055
89	0.1721756699
90	0.1718832654
91	0.1717365198
92	0.1715285193
93	0.171452578
94	0.171230832
95	0.1707233649
96	0.1706028965
97	0.1704393813
98	0.1702850722
99	0.1701410635
100	0.1700369025
101	0.1698830784
102	0.1696828684
103	0.1695940757
104	0.169465556
105	0.1693779584
106	0.1692770929
107	0.1691249548
108	0.168968311
109	0.1688467258
110	0.168701158
111	0.168437514
112	0.1682780002
113	0.1681825634
114	0.1680488483
115	0.1678838312
116	0.1676268682
117	0.1675170378
118	0.1674188025
119	0.1672924217
120	0.1671230829
121	0.1669806312
122	0.166765733
123	0.1667228277
124	0.166613262
125	0.1665287823
126	0.1664518779
127	0.1663769195
128	0.1663166619
129	0.166243904
130	0.1661660431
131	0.1658460275
132	0.1657727531
133	0.1656829776
134	0.16561945
135	0.1654978891
136	0.1653541616
137	0.1652756132
138	0.1651562987
139	0.1650638802
140	0.1649888571
141	0.164933358
142	0.164840155
143	0.1647040475
144	0.1645603137
145	0.1644486969
146	0.1643042181
147	0.1642035215
148	0.1640419222
149	0.1639741967
150	0.1639178309
151	0.1638394466
152	0.1637676647
153	0.1635808798
154	0.1634793874
155	0.1634020485
156	0.1633306755
157	0.1632699057
158	0.1631299053
159	0.1630349654
160	0.1629244157
161	0.1628187538
162	0.1627006604
163	0.162582176
164	0.1625476141
165	0.1624531868
166	0.1623731332
167	0.1623224771
168	0.1622091026
169	0.1621320516
170	0.1618528186
171	0.1617848629
172	0.1616678263
173	0.1615706076
174	0.161534143
175	0.1614497474
176	0.161329124
177	0.1612938534
178	0.1612333427
179	0.1611194998
180	0.1610357018
181	0.1609541397
182	0.1608896632
183	0.1608075433
184	0.1607337153
185	0.1605738169
186	0.1605070365
187	0.1603773815
188	0.160273256
189	0.1601432445
190	0.1600673239
191	0.159958112
192	0.1598428833
193	0.1597296897
194	0.1596730506
195	0.1595748838
196	0.1594861386
197	0.1594223966
198	0.1593697223
199	0.1593330344
200	0.1591825758
201	0.1590910935
202	0.1589917762
203	0.1589446441
204	0.1588557144
205	0.1587655662
206	0.1585905254
207	0.1584481851
208	0.158375194
209	0.1583158035
210	0.1582134231
211	0.1580852003
212	0.158000364
213	0.1578992693
214	0.1577936011
215	0.1576534755
216	0.1575752677
