iter	Passed	Remaining
0	175	175018
1	184	92119
2	202	67171
3	214	53475
4	228	45550
5	242	40091
6	252	35849
7	261	32455
8	270	29815
9	280	27779
10	299	26970
11	309	25511
12	372	28253
13	394	27763
14	408	26855
15	420	25872
16	438	25374
17	452	24700
18	466	24090
19	481	23604
20	496	23168
21	510	22705
22	519	22062
23	530	21574
24	541	21107
25	550	20620
26	559	20173
27	568	19747
28	580	19425
29	590	19098
30	602	18838
31	615	18631
32	630	18478
33	644	18300
34	657	18133
35	667	17868
36	679	17681
37	690	17492
38	703	17327
39	713	17128
40	723	16927
41	735	16770
42	745	16599
43	756	16429
44	766	16277
45	776	16111
46	787	15967
47	795	15784
48	808	15691
49	820	15589
50	835	15549
51	847	15449
52	857	15319
53	870	15254
54	880	15122
55	890	15018
56	902	14925
57	911	14803
58	922	14710
59	932	14602
60	940	14482
61	951	14393
62	959	14273
63	970	14189
64	980	14106
65	989	13998
66	999	13918
67	1017	13949
68	1044	14095
69	1058	14060
70	1072	14031
71	1084	13982
72	1098	13948
73	1110	13901
74	1122	13846
75	1137	13828
76	1150	13785
77	1164	13765
78	1173	13683
79	1183	13614
80	1195	13559
81	1203	13477
82	1215	13426
83	1225	13364
84	1235	13299
85	1248	13265
86	1258	13211
87	1269	13156
88	1279	13100
89	1288	13031
90	1299	12977
91	1310	12930
92	1319	12866
93	1330	12825
94	1340	12774
95	1349	12710
96	1359	12657
97	1368	12593
98	1377	12537
99	1386	12477
100	1395	12424
101	1405	12373
102	1413	12314
103	1424	12272
104	1433	12219
105	1442	12165
106	1453	12126
107	1464	12097
108	1474	12051
109	1482	11997
110	1492	11950
111	1500	11900
112	1509	11852
113	1519	11810
114	1530	11776
115	1541	11744
116	1549	11695
117	1559	11653
118	1568	11610
119	1577	11566
120	1587	11531
121	1595	11484
122	1604	11442
123	1612	11393
124	1622	11355
125	1630	11312
126	1640	11276
127	1651	11251
128	1661	11216
129	1672	11192
130	1681	11153
131	1690	11115
132	1700	11082
133	1708	11041
134	1718	11010
135	1728	10982
136	1739	10958
137	1750	10937
138	1760	10904
139	1771	10879
140	1781	10853
141	1790	10815
142	1799	10783
143	1807	10745
144	1816	10713
145	1825	10676
146	1834	10647
147	1843	10612
148	1853	10584
149	1863	10557
150	1873	10533
151	1884	10515
152	1893	10483
153	1903	10454
154	1912	10427
155	1921	10397
156	1931	10373
157	1940	10342
158	1949	10312
159	1958	10283
160	1968	10258
161	1978	10233
162	1987	10205
163	1996	10178
164	2005	10147
165	2014	10121
166	2023	10093
167	2032	10066
168	2042	10041
169	2051	10017
170	2063	10005
171	2072	9975
172	2084	9964
173	2096	9953
174	2107	9937
175	2117	9914
176	2127	9892
177	2136	9865
178	2145	9839
179	2157	9827
180	2167	9809
181	2181	9803
182	2193	9791
183	2205	9779
184	2216	9766
185	2227	9748
186	2236	9723
187	2245	9697
188	2255	9677
189	2264	9652
190	2276	9641
191	2288	9630
192	2297	9608
193	2307	9587
194	2315	9560
195	2325	9540
196	2335	9520
197	2344	9497
198	2354	9477
199	2362	9451
200	2372	9429
201	2381	9406
202	2391	9388
203	2401	9369
204	2410	9346
205	2419	9327
206	2428	9304
207	2437	9282
208	2446	9258
209	2455	9236
210	2463	9213
211	2473	9195
212	2483	9176
213	2494	9160
214	2505	9147
215	2516	9133
216	2525	9111
217	2536	9097
218	2545	9076
219	2554	9058
220	2565	9043
221	2574	9022
222	2585	9007
223	2594	8986
224	2604	8970
225	2614	8953
226	2623	8935
227	2634	8920
228	2644	8901
229	2653	8884
230	2664	8871
231	2674	8854
232	2689	8852
233	2702	8847
234	2715	8839
235	2725	8824
236	2736	8809
237	2748	8800
238	2758	8783
239	2769	8768
240	2780	8758
241	2790	8741
242	2801	8728
243	2813	8717
244	2823	8700
245	2834	8686
246	2845	8674
247	2855	8658
248	2864	8640
249	2875	8626
250	2885	8609
251	2894	8591
252	2904	8576
253	2916	8565
254	2927	8551
255	2935	8531
256	2946	8518
257	2958	8507
258	2968	8491
259	2978	8476
260	2988	8462
261	2997	8444
262	3007	8428
263	3016	8410
264	3026	8395
265	3036	8380
266	3045	8361
267	3056	8349
268	3066	8332
269	3075	8315
270	3085	8299
271	3095	8284
272	3111	8286
273	3126	8284
274	3141	8281
275	3151	8267
276	3161	8251
277	3172	8238
278	3182	8223
279	3192	8209
280	3205	8202
281	3224	8210
282	3306	8376
283	3333	8404
284	3361	8432
285	3375	8426
286	3388	8418
287	3399	8404
288	3410	8391
289	3424	8384
290	3439	8379
291	3452	8370
292	3461	8353
293	3474	8344
294	3488	8338
295	3501	8327
296	3511	8311
297	3524	8301
298	3536	8290
299	3554	8292
300	3568	8286
301	3577	8269
302	3587	8253
303	3598	8238
304	3607	8221
305	3618	8206
306	3628	8189
307	3638	8174
308	3651	8164
309	3662	8152
310	3672	8136
311	3685	8126
312	3698	8117
313	3707	8100
314	3719	8089
315	3733	8080
316	3747	8074
317	3760	8065
318	3771	8050
319	3782	8038
320	3794	8026
321	3805	8012
322	3817	8000
323	3829	7989
324	3839	7973
325	3850	7961
326	3862	7949
327	3875	7939
328	3885	7925
329	3898	7915
330	3913	7910
331	3927	7902
332	3940	7892
333	3956	7888
334	3970	7881
335	3982	7870
336	3995	7861
337	4010	7854
338	4024	7847
339	4036	7835
340	4050	7827
341	4065	7821
342	4080	7815
343	4094	7808
344	4108	7799
345	4122	7791
346	4134	7779
347	4147	7770
348	4163	7766
349	4176	7756
350	4190	7748
351	4203	7737
352	4213	7722
353	4226	7712
354	4240	7704
355	4253	7694
356	4263	7678
357	4274	7666
358	4288	7657
359	4297	7640
360	4310	7629
361	4325	7622
362	4340	7616
363	4358	7615
364	4376	7614
365	4393	7610
366	4410	7606
367	4424	7598
368	4438	7589
369	4451	7580
370	4461	7563
371	4473	7551
372	4486	7541
373	4498	7529
374	4509	7515
375	4521	7504
376	4534	7493
377	4546	7480
378	4558	7469
379	4570	7457
380	4584	7448
381	4596	7436
382	4606	7421
383	4617	7407
384	4628	7393
385	4638	7379
386	4649	7364
387	4659	7349
388	4668	7333
389	4680	7320
390	4689	7303
391	4700	7291
392	4712	7278
393	4721	7261
394	4731	7247
395	4741	7232
396	4751	7216
397	4761	7202
398	4772	7189
399	4782	7174
400	4795	7162
401	4806	7150
402	4816	7135
403	4827	7122
404	4839	7110
405	4852	7099
406	4866	7090
407	4880	7081
408	4896	7075
409	4910	7066
410	4925	7059
411	4941	7052
412	4956	7045
413	4971	7037
414	4984	7026
415	4999	7018
416	5011	7006
417	5025	6996
418	5042	6991
419	5059	6986
420	5075	6979
421	5091	6974
422	5109	6969
423	5126	6963
424	5142	6957
425	5158	6950
426	5176	6945
427	5194	6942
428	5210	6935
429	5227	6930
430	5243	6922
431	5263	6920
432	5278	6912
433	5292	6901
434	5306	6892
435	5321	6883
436	5338	6877
437	5354	6870
438	5369	6861
439	5385	6854
440	5401	6846
441	5419	6841
442	5439	6839
443	5463	6841
444	5484	6839
445	5500	6831
446	5514	6822
447	5530	6814
448	5542	6802
449	5554	6788
450	5582	6795
451	5593	6782
452	5603	6766
453	5614	6751
454	5626	6739
455	5640	6728
456	5656	6721
457	5666	6706
458	5679	6694
459	5691	6681
460	5701	6665
461	5712	6652
462	5724	6639
463	5733	6623
464	5746	6612
465	5760	6601
466	5771	6587
467	5781	6572
468	5792	6558
469	5803	6543
470	5814	6530
471	5827	6519
472	5844	6511
473	5857	6499
474	5874	6492
475	5885	6479
476	5898	6467
477	5912	6456
478	5930	6450
479	5946	6442
480	5962	6433
481	5977	6424
482	5993	6414
483	6008	6405
484	6024	6397
485	6041	6389
486	6059	6382
487	6073	6372
488	6088	6362
489	6101	6350
490	6115	6339
491	6130	6330
492	6146	6321
493	6161	6310
494	6177	6301
495	6191	6291
496	6208	6283
497	6222	6272
498	6236	6261
499	6252	6252
500	6267	6242
501	6283	6233
502	6297	6222
503	6315	6215
504	6327	6202
505	6341	6191
506	6356	6180
507	6370	6169
508	6386	6160
509	6402	6151
510	6418	6142
511	6433	6131
512	6449	6122
513	6466	6114
514	6482	6105
515	6500	6097
516	6519	6091
517	6536	6081
518	6551	6072
519	6569	6064
520	6586	6055
521	6602	6046
522	6616	6034
523	6631	6023
524	6643	6010
525	6654	5996
526	6665	5982
527	6678	5970
528	6691	5957
529	6703	5944
530	6717	5933
531	6729	5920
532	6741	5906
533	6753	5893
534	6764	5879
535	6776	5866
536	6789	5854
537	6800	5839
538	6812	5826
539	6827	5815
540	6841	5804
541	6855	5793
542	6865	5778
543	6877	5765
544	6891	5753
545	6907	5743
546	6927	5737
547	6970	5749
548	6992	5744
549	7013	5738
550	7024	5723
551	7034	5709
552	7044	5693
553	7054	5679
554	7063	5663
555	7073	5648
556	7083	5633
557	7092	5617
558	7102	5603
559	7111	5587
560	7121	5573
561	7135	5560
562	7145	5546
563	7156	5532
564	7168	5518
565	7179	5505
566	7190	5491
567	7201	5477
568	7211	5462
569	7223	5449
570	7235	5435
571	7249	5424
572	7261	5410
573	7275	5399
574	7305	5399
575	7322	5390
576	7339	5380
577	7356	5370
578	7372	5360
579	7390	5351
580	7408	5342
581	7423	5331
582	7439	5321
583	7454	5310
584	7470	5299
585	7486	5289
586	7502	5278
587	7518	5268
588	7533	5256
589	7550	5247
590	7567	5237
591	7583	5226
592	7600	5216
593	7617	5206
594	7633	5195
595	7651	5186
596	7665	5174
597	7676	5160
598	7686	5145
599	7696	5131
600	7706	5116
601	7716	5101
602	7729	5089
603	7739	5073
604	7751	5060
605	7764	5048
606	7775	5034
607	7784	5018
608	7794	5004
609	7804	4989
610	7814	4975
611	7826	4961
612	7839	4949
613	7850	4935
614	7861	4921
615	7872	4907
616	7881	4892
617	7891	4877
618	7901	4863
619	7913	4850
620	7923	4835
621	7932	4820
622	7943	4806
623	7953	4792
624	7965	4779
625	7978	4766
626	7991	4754
627	8000	4739
628	8011	4725
629	8023	4712
630	8034	4698
631	8045	4684
632	8057	4671
633	8070	4659
634	8081	4645
635	8093	4632
636	8105	4619
637	8118	4606
638	8131	4593
639	8144	4581
640	8157	4568
641	8170	4556
642	8185	4544
643	8197	4531
644	8210	4519
645	8225	4507
646	8237	4494
647	8248	4480
648	8259	4466
649	8269	4452
650	8278	4438
651	8288	4424
652	8299	4410
653	8309	4396
654	8320	4382
655	8332	4369
656	8343	4356
657	8355	4342
658	8367	4329
659	8379	4316
660	8391	4303
661	8404	4291
662	8416	4278
663	8428	4265
664	8440	4252
665	8455	4240
666	8469	4228
667	8483	4216
668	8498	4204
669	8510	4191
670	8521	4177
671	8533	4164
672	8546	4152
673	8557	4139
674	8568	4125
675	8579	4112
676	8591	4098
677	8601	4085
678	8615	4072
679	8627	4059
680	8639	4046
681	8650	4033
682	8663	4020
683	8677	4008
684	8692	3997
685	8704	3984
686	8723	3974
687	8737	3962
688	8749	3949
689	8760	3935
690	8772	3923
691	8783	3909
692	8795	3896
693	8808	3883
694	8821	3871
695	8833	3858
696	8844	3844
697	8856	3831
698	8868	3819
699	8879	3805
700	8890	3791
701	8899	3777
702	8909	3764
703	8919	3750
704	8929	3736
705	8940	3723
706	8953	3710
707	8964	3697
708	8976	3684
709	8991	3672
710	9004	3660
711	9018	3647
712	9031	3635
713	9045	3623
714	9057	3610
715	9068	3596
716	9080	3584
717	9093	3571
718	9105	3558
719	9117	3545
720	9128	3532
721	9140	3519
722	9152	3506
723	9164	3493
724	9176	3480
725	9189	3468
726	9202	3455
727	9214	3442
728	9224	3429
729	9236	3416
730	9249	3403
731	9263	3391
732	9276	3378
733	9288	3365
734	9300	3353
735	9312	3340
736	9324	3327
737	9336	3314
738	9349	3302
739	9361	3289
740	9373	3276
741	9385	3263
742	9398	3250
743	9410	3238
744	9421	3224
745	9434	3212
746	9447	3199
747	9461	3187
748	9473	3174
749	9486	3162
750	9498	3149
751	9510	3136
752	9521	3123
753	9534	3110
754	9546	3098
755	9558	3085
756	9569	3071
757	9583	3059
758	9594	3046
759	9605	3033
760	9615	3019
761	9627	3007
762	9640	2994
763	9652	2981
764	9663	2968
765	9689	2960
766	9702	2947
767	9714	2934
768	9728	2922
769	9742	2910
770	9756	2897
771	9770	2885
772	9783	2873
773	9798	2861
774	9812	2848
775	9824	2835
776	9835	2822
777	9844	2809
778	9856	2796
779	9866	2782
780	9875	2769
781	9887	2756
782	9899	2743
783	9910	2730
784	9920	2717
785	9931	2704
786	9941	2690
787	9952	2677
788	9962	2664
789	9974	2651
790	9987	2638
791	9997	2625
792	10008	2612
793	10020	2599
794	10031	2586
795	10044	2574
796	10057	2561
797	10070	2549
798	10084	2536
799	10098	2524
800	10113	2512
801	10123	2499
802	10136	2486
803	10149	2474
804	10159	2460
805	10171	2448
806	10184	2435
807	10196	2423
808	10205	2409
809	10216	2396
810	10226	2383
811	10236	2369
812	10248	2357
813	10259	2344
814	10269	2331
815	10282	2318
816	10295	2306
817	10306	2293
818	10319	2280
819	10330	2267
820	10341	2254
821	10352	2241
822	10363	2228
823	10375	2216
824	10385	2202
825	10397	2190
826	10410	2177
827	10425	2165
828	10436	2152
829	10450	2140
830	10463	2128
831	10477	2115
832	10491	2103
833	10502	2090
834	10514	2077
835	10528	2065
836	10542	2053
837	10553	2040
838	10563	2027
839	10574	2014
840	10583	2000
841	10594	1987
842	10605	1975
843	10615	1962
844	10625	1949
845	10636	1936
846	10646	1923
847	10656	1910
848	10665	1896
849	10676	1884
850	10687	1871
851	10697	1858
852	10709	1845
853	10722	1833
854	10735	1820
855	10746	1807
856	10759	1795
857	10773	1783
858	10788	1770
859	10802	1758
860	10817	1746
861	10833	1734
862	10846	1721
863	10862	1709
864	10876	1697
865	10891	1685
866	10906	1673
867	10920	1660
868	10935	1648
869	10951	1636
870	10964	1623
871	10974	1610
872	10985	1598
873	10999	1585
874	11009	1572
875	11021	1560
876	11034	1547
877	11044	1534
878	11054	1521
879	11066	1509
880	11078	1496
881	11088	1483
882	11099	1470
883	11111	1458
884	11120	1445
885	11130	1432
886	11142	1419
887	11153	1406
888	11166	1394
889	11176	1381
890	11186	1368
891	11196	1355
892	11207	1342
893	11218	1330
894	11230	1317
895	11240	1304
896	11250	1291
897	11261	1279
898	11270	1266
899	11280	1253
900	11291	1240
901	11300	1227
902	11310	1214
903	11320	1202
904	11330	1189
905	11341	1176
906	11352	1164
907	11364	1151
908	11376	1138
909	11388	1126
910	11398	1113
911	11408	1100
912	11418	1088
913	11429	1075
914	11440	1062
915	11456	1050
916	11467	1037
917	11482	1025
918	11496	1013
919	11510	1000
920	11526	988
921	11540	976
922	11553	963
923	11562	951
924	11576	938
925	11589	926
926	11601	913
927	11611	900
928	11622	888
929	11634	875
930	11644	862
931	11654	850
932	11668	837
933	11678	825
934	11690	812
935	11703	800
936	11717	787
937	11730	775
938	11743	762
939	11758	750
940	11773	738
941	11788	725
942	11804	713
943	11822	701
944	11840	689
945	11856	676
946	11872	664
947	11887	652
948	11904	639
949	11920	627
950	11937	615
951	11962	603
952	11985	591
953	12000	578
954	12020	566
955	12034	553
956	12049	541
957	12064	528
958	12079	516
959	12093	503
960	12106	491
961	12120	478
962	12133	466
963	12149	453
964	12163	441
965	12179	428
966	12196	416
967	12212	403
968	12229	391
969	12244	378
970	12259	366
971	12275	353
972	12290	341
973	12303	328
974	12317	315
975	12331	303
976	12345	290
977	12362	278
978	12377	265
979	12393	252
980	12409	240
981	12425	227
982	12442	215
983	12457	202
984	12478	190
985	12495	177
986	12517	164
987	12541	152
988	12558	139
989	12578	127
990	12597	114
991	12611	101
992	12630	89
993	12646	76
994	12659	63
